,Date,Year,Month,Day,Min Temp,Max Temp,Total Precipitation,Max Gust,Min Humidity,Max Humidity,Min Wind Speed,Max Wind Speed,Min Visibility,Max Visibility,Min Pressure,Max Pressure,Condition
252,2013-09-11,2013,9,11,20.7,32.5,3.2,54,51.0,91.0,10.0,28.0,16.1,24.1,99.2,99.52,1
253,2013-09-12,2013,9,12,14.8,23.7,3.2,74,51.0,92.0,7.0,36.0,16.1,24.1,98.74,99.1,1
255,2013-09-14,2013,9,14,5.2,17.4,0.0,<31,41.0,81.0,8.0,20.0,24.1,24.1,99.74,100.04,0
256,2013-09-15,2013,9,15,9.6,19.3,1.8,46,52.0,86.0,9.0,27.0,19.3,24.1,99.68,99.92,1
257,2013-09-16,2013,9,16,5.6,14.7,0.0,46,54.0,90.0,6.0,34.0,24.1,24.1,99.74,100.83,1
258,2013-09-17,2013,9,17,5.0,15.7,0.0,<31,52.0,83.0,5.0,18.0,24.1,24.1,100.47,101.11,0
259,2013-09-18,2013,9,18,6.3,20.8,0.0,<31,45.0,90.0,2.0,19.0,19.3,24.1,99.86,100.43,0
260,2013-09-19,2013,9,19,9.4,22.4,0.0,<31,69.0,94.0,1.0,15.0,9.7,24.1,99.52,99.89,0
261,2013-09-20,2013,9,20,16.1,23.9,11.4,39,74.0,95.0,3.0,22.0,2.4,19.3,98.61,99.54,1
262,2013-09-21,2013,9,21,9.5,19.8,26.0,46,71.0,96.0,4.0,33.0,6.4,24.1,98.33,98.69,1
263,2013-09-22,2013,9,22,8.5,12.5,0.0,46,57.0,86.0,11.0,30.0,24.1,24.1,98.76,99.73,0
264,2013-09-23,2013,9,23,6.9,16.3,0.0,32,47.0,82.0,5.0,21.0,24.1,24.1,99.74,100.1,0
265,2013-09-24,2013,9,24,6.0,18.6,0.0,<31,45.0,88.0,5.0,16.0,24.1,24.1,99.6,100.12,0
266,2013-09-25,2013,9,25,8.0,21.5,0.0,<31,44.0,87.0,1.0,21.0,24.1,24.1,99.41,99.65,0
267,2013-09-26,2013,9,26,9.8,21.0,0.0,<31,45.0,88.0,3.0,14.0,24.1,24.1,99.57,100.07,0
268,2013-09-27,2013,9,27,10.5,19.6,0.0,<31,57.0,89.0,1.0,18.0,16.1,24.1,100.1,100.47,0
